Beneficiários por Município
Assistência Médica por Município
Grande Região: Nordeste
Período:Dez/2014
"Município";"Assistência_Médica"
"251410 São João do Tigre";6
"251420 São José da Lagoa Tapada";61
"251430 São José de Caiana";10
"251440 São José de Espinharas";39
"251450 São José de Piranhas";1816
"251460 São José do Bonfim";9
"251470 São José do Sabugi";62
"251480 São José dos Cordeiros";12
"251445 São José dos Ramos";7
"251490 São Mamede";109
"251500 São Miguel de Taipu";24
"251510 São Sebastião de Lagoa de Roça";205
"251520 São Sebastião do Umbuzeiro";25
"251530 Sapé";1190
"251540 Seridó";53
"251550 Serra Branca";440
"251560 Serra da Raiz";15
"251570 Serra Grande";11
"251580 Serra Redonda";59
"251590 Serraria";54
"251593 Sertãozinho";42
"251597 Sobrado";36
"251600 Solânea";791
"251610 Soledade";413
"251615 Sossêgo";5
"251620 Sousa";7107
"251630 Sumé";439
"251650 Taperoá";268
"251660 Tavares";78
"251670 Teixeira";205
"251675 Tenório";13
"251680 Triunfo";70
"251690 Uiraúna";517
"251700 Umbuzeiro";142
"251710 Várzea";42
"251720 Vieirópolis";14
"250550 Vista Serrana";14
"251740 Zabelê";15
"250000 Município ignorado - PB";39
"260005 Abreu e Lima";15592
"260010 Afogados da Ingazeira";970
"260020 Afrânio";517
"260030 Agrestina";736
"260040 Água Preta";303
"260050 Águas Belas";684
"260060 Alagoinha";332
"260070 Aliança";532
"260080 Altinho";803
"260090 Amaraji";534
"260100 Angelim";294
"260105 Araçoiaba";417
"260110 Araripina";2114
"260120 Arcoverde";6173
"260130 Barra de Guabiraba";117
"260140 Barreiros";1321
"260150 Belém de Maria";92
"260160 Belém de São Francisco";283
"260170 Belo Jardim";5177
"260180 Betânia";52
"260190 Bezerros";3018
"260200 Bodocó";412
"260210 Bom Conselho";1642
"260220 Bom Jardim";447
"260230 Bonito";1170
"260240 Brejão";301
"260250 Brejinho";36
"260260 Brejo da Madre de Deus";1357
"260270 Buenos Aires";63
"260280 Buíque";1001
"260290 Cabo de Santo Agostinho";35682
"260300 Cabrobó";1152
"260310 Cachoeirinha";683
"260320 Caetés";155
"260330 Calçado";68
"260340 Calumbi";61
"260345 Camaragibe";24902
"260350 Camocim de São Félix";517
"260360 Camutanga";117
"260370 Canhotinho";422
"260380 Capoeiras";227
"260390 Carnaíba";106
"260392 Carnaubeira da Penha";16
"260400 Carpina";5076
"260410 Caruaru";71368
"260415 Casinhas";57
"260420 Catende";551
"260430 Cedro";94
"260440 Chã de Alegria";193
"260450 Chã Grande";319
"260460 Condado";886
"260470 Correntes";153
"260480 Cortês";216
"260490 Cumaru";269
"260500 Cupira";1003
"260510 Custódia";769
"260515 Dormentes";870
"260520 Escada";4995
"260530 Exu";399
"260540 Feira Nova";200
"260545 Fernando de Noronha";686
"260550 Ferreiros";159
"260560 Flores";147
"260570 Floresta";664
"260580 Frei Miguelinho";187
"260590 Gameleira";293
"260600 Garanhuns";21994
"260610 Glória do Goitá";1243
"260620 Goiana";6989
"260630 Granito";42
"260640 Gravatá";3919
"260650 Iati";39
"260660 Ibimirim";210
"260670 Ibirajuba";24
"260680 Igarassu";14303
"260690 Iguaraci";112
"260760 Ilha de Itamaracá";789
"260700 Inajá";64
"260710 Ingazeira";35
"260720 Ipojuca";30529
"260730 Ipubi";185
"260740 Itacuruba";73
"260750 Itaíba";98
"260765 Itambé";1041
"260770 Itapetim";99
"260775 Itapissuma";3237
"260780 Itaquitinga";327
"260790 Jaboatão dos Guararapes";161560
"260795 Jaqueira";166
"260800 Jataúba";192
"260805 Jatobá";1074
"260810 João Alfredo";414
"260820 Joaquim Nabuco";175
"260825 Jucati";32
"260830 Jupi";110
"260840 Jurema";55
"260845 Lagoa do Carro";179
"260850 Lagoa do Itaenga";276
"260860 Lagoa do Ouro";30
"260870 Lagoa dos Gatos";193
"260875 Lagoa Grande";1396
"260880 Lajedo";1674
"260890 Limoeiro";1865
"260900 Macaparana";349
"260910 Machados";62
"260915 Manari";24
"260920 Maraial";100
"260930 Mirandiba";76
"261430 Moreilândia";88
"260940 Moreno";4793
"260950 Nazaré da Mata";1219
"260960 Olinda";111609
"260970 Orobó";229
"260980 Orocó";318
"260990 Ouricuri";1157
"261000 Palmares";2373
"261010 Palmeirina";46
"261020 Panelas";397
"261030 Paranatama";62
"261040 Parnamirim";4639
"261050 Passira";215
"261060 Paudalho";1361
"261070 Paulista";61994
"261080 Pedra";347
"261090 Pesqueira";2804
"261100 Petrolândia";740
"261110 Petrolina";65322
"261120 Poção";196
"261130 Pombos";751
"261140 Primavera";375
"261150 Quipapá";172
"261153 Quixaba";242
"261160 Recife";650961
"261170 Riacho das Almas";946
"261180 Ribeirão";1567
"261190 Rio Formoso";616
"261200 Sairé";349
"261210 Salgadinho";34
"261220 Salgueiro";2794
"261230 Saloá";85
"261240 Sanharó";421
"261245 Santa Cruz";138
"261247 Santa Cruz da Baixa Verde";47
"261250 Santa Cruz do Capibaribe";8282
"261255 Santa Filomena";27
"261260 Santa Maria da Boa Vista";1157
"261270 Santa Maria do Cambucá";91
"261280 Santa Terezinha";88
"261290 São Benedito do Sul";49
"261300 São Bento do Una";1531
"261310 São Caitano";1439
"261320 São João";206
"261330 São Joaquim do Monte";269
"261340 São José da Coroa Grande";371
"261350 São José do Belmonte";483
"261360 São José do Egito";550
"261370 São Lourenço da Mata";9829
"261380 São Vicente Ferrer";197
"261390 Serra Talhada";4302
"261400 Serrita";103
"261410 Sertânia";1058
"261420 Sirinhaém";1432
"261440 Solidão";9
"261450 Surubim";2671
"261460 Tabira";244
"261470 Tacaimbó";278
"261480 Tacaratu";166
"261485 Tamandaré";540
"261500 Taquaritinga do Norte";528
"261510 Terezinha";34
"261520 Terra Nova";101
"261530 Timbaúba";2028
"261540 Toritama";4023
"261550 Tracunhaém";137
"261560 Trindade";420
"261570 Triunfo";440
"261580 Tupanatinga";378
"261590 Tuparetama";102
"261600 Venturosa";157
"261610 Verdejante";66
"261618 Vertente do Lério";211
"261620 Vertentes";405
"261630 Vicência";461
"261640 Vitória de Santo Antão";13110
"261650 Xexéu";64
"260000 Município ignorado - PE";1789
"270010 Água Branca";338
"270020 Anadia";350
"270030 Arapiraca";19122
"270040 Atalaia";1103
"270050 Barra de Santo Antônio";383
"270060 Barra de São Miguel";492
"270070 Batalha";416
"270080 Belém";36751
"270090 Belo Monte";47
"270100 Boca da Mata";1400
"270110 Branquinha";51
"270120 Cacimbinhas";205
"270130 Cajueiro";574
"270135 Campestre";152
"270140 Campo Alegre";548
"270150 Campo Grande";1225
"270160 Canapi";157
"270170 Capela";600
"270180 Carneiros";36
"270190 Chã Preta";100
"270200 Coité do Nóia";117
"270210 Colônia Leopoldina";184
"270220 Coqueiro Seco";523
"270230 Coruripe";2008
"270235 Craíbas";317
"270240 Delmiro Gouveia";2021
"270250 Dois Riachos";56
"270255 Estrela de Alagoas";187
"270260 Feira Grande";502
"270270 Feliz Deserto";47
"270280 Flexeiras";181
"270290 Girau do Ponciano";228
"270300 Ibateguara";139
"270310 Igaci";309
"270320 Igreja Nova";81
"270330 Inhapi";103
"270340 Jacaré dos Homens";118
"270350 Jacuípe";23
"270360 Japaratinga";119
"270370 Jaramataia";39
"270375 Jequiá da Praia";229
"270380 Joaquim Gomes";115
"270390 Jundiá";53
"270400 Junqueiro";494
"270410 Lagoa da Canoa";234
"270420 Limoeiro de Anadia";141
"270430 Maceió";298202
"270440 Major Isidoro";203
"270490 Mar Vermelho";40
"270450 Maragogi";732
"270460 Maravilha";90
"270470 Marechal Deodoro";5632
"270480 Maribondo";611
"270500 Mata Grande";241
"270510 Matriz de Camaragibe";452
"270520 Messias";793
"270530 Minador do Negrão";127
"270540 Monteirópolis";49
"270550 Murici";878
"270560 Novo Lino";111
"270570 Olho d'Água das Flores";514
"270580 Olho d'Água do Casado";63
"270590 Olho d'Água Grande";26
"270600 Olivença";57
"270610 Ouro Branco";133
"270620 Palestina";54
"270630 Palmeira dos Índios";6149
"270640 Pão de Açúcar";492
"270642 Pariconha";43
"270644 Paripueira";494
"270650 Passo de Camaragibe";176
"270660 Paulo Jacinto";124
"270670 Penedo";2801
"270680 Piaçabuçu";261
"270690 Pilar";2916
"270700 Pindoba";89
"270710 Piranhas";988
"270720 Poço das Trincheiras";99
"270730 Porto Calvo";612
"270740 Porto de Pedras";91
"270750 Porto Real do Colégio";219
"270760 Quebrangulo";225
"270770 Rio Largo";7633
"270780 Roteiro";46
"270790 Santa Luzia do Norte";665
"270800 Santana do Ipanema";2315
"270810 Santana do Mundaú";123
"270820 São Brás";93
"270830 São José da Laje";354
"270840 São José da Tapera";162
"270850 São Luís do Quitunde";495
"270860 São Miguel dos Campos";4239
"270870 São Miguel dos Milagres";122
"270880 São Sebastião";484
"270890 Satuba";1192
"270895 Senador Rui Palmeira";34
"270900 Tanque d'Arca";44
"270910 Taquarana";237
"270915 Teotônio Vilela";487
"270920 Traipu";229
"270930 União dos Palmares";2393
"270940 Viçosa";830
"270000 Município ignorado - AL";633
"280010 Amparo de São Francisco";98
"280020 Aquidabã";460
"280030 Aracaju";226601
"280040 Arauá";110
"280050 Areia Branca";539
"280060 Barra dos Coqueiros";4914
"280067 Boquim";802
"280070 Brejo Grande";47
"280100 Campo do Brito";426
"280110 Canhoba";37
"280120 Canindé de São Francisco";401
"280130 Capela";792
"280140 Carira";272
"280150 Carmópolis";9576
"280160 Cedro de São João";184
"280170 Cristinápolis";127
"280190 Cumbe";62
"280200 Divina Pastora";201
"280210 Estância";4279
"280220 Feira Nova";32
"280230 Frei Paulo";311
"280240 Gararu";118
"280250 General Maynard";281
"280260 Gracho Cardoso";60
"280270 Ilha das Flores";72
"280280 Indiaroba";123
"280290 Itabaiana";4711
"280300 Itabaianinha";618
"280310 Itabi";96
"280320 Itaporanga d'Ajuda";1361
"280330 Japaratuba";936
"280340 Japoatã";274
"280350 Lagarto";6718
"280360 Laranjeiras";3277
"280370 Macambira";71
"280380 Malhada dos Bois";58
"280390 Malhador";654
"280400 Maruim";2099
"280410 Moita Bonita";147
"280420 Monte Alegre de Sergipe";179
"280430 Muribeca";433
"280440 Neópolis";516
"280445 Nossa Senhora Aparecida";87
"280450 Nossa Senhora da Glória";1066
"280460 Nossa Senhora das Dores";1010
"280470 Nossa Senhora de Lourdes";79
"280480 Nossa Senhora do Socorro";16103
"280490 Pacatuba";1221
"280500 Pedra Mole";22
"280510 Pedrinhas";137
"280520 Pinhão";29
"280530 Pirambu";325
"280540 Poço Redondo";270
"280550 Poço Verde";312
"280560 Porto da Folha";277
"280570 Propriá";1861
"280580 Riachão do Dantas";105
"280590 Riachuelo";485
"280600 Ribeirópolis";377
"280610 Rosário do Catete";1254
"280620 Salgado";631
"280630 Santa Luzia do Itanhy";12
"280650 Santa Rosa de Lima";68
"280640 Santana do São Francisco";56
"280660 Santo Amaro das Brotas";1044
"280670 São Cristóvão";9739
"280680 São Domingos";144
"280690 São Francisco";63
"280700 São Miguel do Aleixo";37
"280710 Simão Dias";1034
"280720 Siriri";565
"280730 Telha";62
"280740 Tobias Barreto";2840
"280750 Tomar do Geru";58
"280760 Umbaúba";348
"280000 Município ignorado - SE";621
"290010 Abaíra";729
"290020 Abaré";411
"290030 Acajutiba";162
"290035 Adustina";93
"290040 Água Fria";694
"290060 Aiquara";115
"290070 Alagoinhas";21900
"290080 Alcobaça";912
"290090 Almadina";110
"290100 Amargosa";913
"290110 Amélia Rodrigues";2148
"290115 América Dourada";54
"290120 Anagé";88
"290130 Andaraí";141
"290135 Andorinha";2606
"290140 Angical";91
"290150 Anguera";214
"290160 Antas";111
"290170 Antônio Cardoso";331
"290180 Antônio Gonçalves";135
"290190 Aporá";68
"290195 Apuarema";48
"290205 Araças";752
"290200 Aracatu";137
"290210 Araci";788
"290220 Aramari";350
"290225 Arataca";53
"290230 Aratuípe";216
"290240 Aurelino Leal";148
"290250 Baianópolis";71
"290260 Baixa Grande";161
"290265 Banzaê";29
"290270 Barra";899
"290280 Barra da Estiva";322
"290290 Barra do Choça";715
"290300 Barra do Mendes";167
"290310 Barra do Rocha";148
"290320 Barreiras";11079
"290323 Barro Alto";45
"290330 Barro Preto";216
"290327 Barrocas";482
"290340 Belmonte";1071
"290350 Belo Campo";149
"290360 Biritinga";107
"290370 Boa Nova";177
"290380 Boa Vista do Tupim";252
"290390 Bom Jesus da Lapa";2547
"290395 Bom Jesus da Serra";30
"290400 Boninal";63
"290405 Bonito";74
"290410 Boquira";154
"290420 Botuporã";80
"290430 Brejões";144
"290440 Brejolândia";24
"290450 Brotas de Macaúbas";73
"290460 Brumado";6081
"290470 Buerarema";560
"290475 Buritirama";58
"290480 Caatiba";49
"290485 Cabaceiras do Paraguaçu";70
"290490 Cachoeira";1222
"290500 Caculé";330
"290510 Caém";82
"290515 Caetanos";270
"290520 Caetité";2267
"290530 Cafarnaum";24
"290540 Cairu";133
"290550 Caldeirão Grande";43
"290560 Camacan";1083
"290570 Camaçari";74001
"290580 Camamu";357
"290590 Campo Alegre de Lourdes";333
"290600 Campo Formoso";3225
"290610 Canápolis";38
"290620 Canarana";144
"290630 Canavieiras";593
"290640 Candeal";280
"290650 Candeias";13427
"290660 Candiba";116
"290670 Cândido Sales";477
"290680 Cansanção";220
"290682 Canudos";71
"290685 Capela do Alto Alegre";163
"290687 Capim Grosso";330
"290689 Caraíbas";31
"290690 Caravelas";1274
"290700 Cardeal da Silva";500
"290710 Carinhanha";157
"290720 Casa Nova";1830
"290730 Castro Alves";700
"290740 Catolândia";61
"290750 Catu";12582
"290755 Caturama";37
"290760 Central";76
"290770 Chorrochó";54
"290780 Cícero Dantas";453
"290790 Cipó";182
"290800 Coaraci";970
"290810 Cocos";119
"290820 Conceição da Feira";935
"290830 Conceição do Almeida";328
"290840 Conceição do Coité";1370
"290850 Conceição do Jacuípe";2502
"290860 Conde";428
"290870 Condeúba";349
"290880 Contendas do Sincorá";39
"290890 Coração de Maria";939
"290900 Cordeiros";90
"290910 Coribe";80
"290920 Coronel João Sá";43
"290930 Correntina";426
"290940 Cotegipe";80
"290950 Cravolândia";27
"290960 Crisópolis";96
"290970 Cristópolis";123
"290980 Cruz das Almas";3892
"290990 Curaçá";701
"291000 Dário Meira";87
"291005 Dias d'Ávila";17588
"291010 Dom Basílio";160
"291020 Dom Macedo Costa";82
"291030 Elísio Medrado";81
"291040 Encruzilhada";134
"291050 Entre Rios";3753
"290050 Érico Cardoso";51
"291060 Esplanada";1173
"291070 Euclides da Cunha";1316
"291072 Eunápolis";19241
"291075 Fátima";173
"291077 Feira da Mata";27
"291080 Feira de Santana";119320
"291085 Filadélfia";178
"291090 Firmino Alves";43
"291100 Floresta Azul";211
"291110 Formosa do Rio Preto";218
"291120 Gandu";710
"291125 Gavião";26
"291130 Gentio do Ouro";903
"291140 Glória";176
"291150 Gongogi";28
"291160 Governador Mangabeira";369
"291165 Guajeru";21
"291170 Guanambi";3575
"291180 Guaratinga";245
"291185 Heliópolis";180
"291190 Iaçu";432
"291200 Ibiassucê";68
"291210 Ibicaraí";889
"291220 Ibicoara";149
"291230 Ibicuí";237
"291240 Ibipeba";42
"291250 Ibipitanga";4
"291260 Ibiquera";34
"291270 Ibirapitanga";174
"291280 Ibirapuã";325
"291290 Ibirataia";353
"291300 Ibitiara";65
"291310 Ibititá";113
"291320 Ibotirama";540
"291330 Ichu";68
"291340 Igaporã";121
"291345 Igrapiúna";303
"291350 Iguaí";263
"291360 Ilhéus";21145
"291370 Inhambupe";703
"291380 Ipecaetá";122
"291390 Ipiaú";3896
"291400 Ipirá";1290
"291410 Ipupiara";57
"291420 Irajuba";26
"291430 Iramaia";153
"291440 Iraquara";285
"291450 Irará";1108
"291460 Irecê";3627
"291465 Itabela";1184
"291470 Itaberaba";3111
"291480 Itabuna";41417
"291490 Itacaré";316
"291500 Itaeté";116
"291510 Itagi";204
"291520 Itagibá";472
"291530 Itagimirim";592
"291535 Itaguaçu da Bahia";17
"291540 Itaju do Colônia";78
"291550 Itajuípe";1247
"291560 Itamaraju";3473
"291570 Itamari";69
"291580 Itambé";279
"291590 Itanagra";201
"291600 Itanhém";565
"291610 Itaparica";859
"291620 Itapé";249
"291630 Itapebi";407
"291640 Itapetinga";4947
"291650 Itapicuru";76
"291660 Itapitanga";122
"291670 Itaquara";74
"291680 Itarantim";472
"291685 Itatim";319
"291690 Itiruçu";174
"291700 Itiúba";476
"291710 Itororó";451
"291720 Ituaçu";262
"291730 Ituberá";566
"291733 Iuiú";40
"291735 Jaborandi";44
"291740 Jacaraci";66
"291750 Jacobina";8388
"291760 Jaguaquara";1081
"291770 Jaguarari";4119
"291780 Jaguaripe";151
"291790 Jandaíra";101
"291800 Jequié";15550
"291810 Jeremoabo";367
"291820 Jiquiriçá";54
"291830 Jitaúna";236
"291835 João Dourado";152
"291840 Juazeiro";29773
"291845 Jucuruçu";24
"291850 Jussara";25
"291855 Jussari";217
"291860 Jussiape";39
"291870 Lafaiete Coutinho";90
"291875 Lagoa Real";23
"291880 Laje";344
"291890 Lajedão";73
"291900 Lajedinho";23
"291905 Lajedo do Tabocal";34
"291910 Lamarão";80
"291915 Lapão";206
"291920 Lauro de Freitas";66441
"291930 Lençóis";248
"291940 Licínio de Almeida";8058
"291950 Livramento de Nossa Senhora";670
"291955 Luís Eduardo Magalhães";6330
"291960 Macajuba";89
"291970 Macarani";257
"291980 Macaúbas";476
"291990 Macururé";28
"291992 Madre de Deus";3099
"291995 Maetinga";43
"292000 Maiquinique";397
"292010 Mairi";190
"292020 Malhada";29
"292030 Malhada de Pedras";32
"292040 Manoel Vitorino";137
"292045 Mansidão";35
"292050 Maracás";728
"292060 Maragogipe";2352
"292070 Maraú";201
"292080 Marcionílio Souza";40
"292090 Mascote";73
"292100 Mata de São João";5703
"292105 Matina";61
"292110 Medeiros Neto";931
"292120 Miguel Calmon";455
"292130 Milagres";171
"292140 Mirangaba";30
"292145 Mirante";220
"292150 Monte Santo";320
"292160 Morpará";35
"292170 Morro do Chapéu";444
"292180 Mortugaba";76
"292190 Mucugê";146
"292200 Mucuri";6399
"292205 Mulungu do Morro";57
"292210 Mundo Novo";335
"292220 Muniz Ferreira";120
"292225 Muquém de São Francisco";7
"292230 Muritiba";1120
"292240 Mutuípe";511
"292250 Nazaré";1649
"292260 Nilo Peçanha";43
"292265 Nordestina";47
"292270 Nova Canaã";182
"292273 Nova Fátima";82
"292275 Nova Ibiá";54
"292280 Nova Itarana";97
"292285 Nova Redenção";58
"292290 Nova Soure";170
"292300 Nova Viçosa";3287
"292303 Novo Horizonte";58
"292305 Novo Triunfo";21
"292310 Olindina";211
"292320 Oliveira dos Brejinhos";101
"292330 Ouriçangas";126
"292335 Ourolândia";29
"292340 Palmas de Monte Alto";87
"292350 Palmeiras";262
"292360 Paramirim";258
"292370 Paratinga";135
"292380 Paripiranga";417
"292390 Pau Brasil";127
"292400 Paulo Afonso";13420
"292405 Pé de Serra";127
"292410 Pedrão";49
"292420 Pedro Alexandre";29
"292430 Piatã";95
"292440 Pilão Arcado";184
"292450 Pindaí";189
"292460 Pindobaçu";206
"292465 Pintadas";181
"292467 Piraí do Norte";23
"292470 Piripá";177
"292480 Piritiba";209
"292490 Planaltino";43
"292500 Planalto";595
"292510 Poções";1433
"292520 Pojuca";9128
"292525 Ponto Novo";114
"292530 Porto Seguro";9553
"292540 Potiraguá";58
"292550 Prado";620
"292560 Presidente Dutra";154
"292570 Presidente Jânio Quadros";79
"292575 Presidente Tancredo Neves";75
"292580 Queimadas";353
"292590 Quijingue";67
"292593 Quixabeira";30
"292595 Rafael Jambeiro";222
"292600 Remanso";930
"292610 Retirolândia";79
"292620 Riachão das Neves";107
"292630 Riachão do Jacuípe";871
"292640 Riacho de Santana";318
"292650 Ribeira do Amparo";21
"292660 Ribeira do Pombal";1302
"292665 Ribeirão do Largo";63
"292670 Rio de Contas";174
"292680 Rio do Antônio";53
"292690 Rio do Pires";53
"292700 Rio Real";588
"292710 Rodelas";81
"292720 Ruy Barbosa";496
"292730 Salinas da Margarida";427
"292740 Salvador";831644
"292750 Santa Bárbara";575
"292760 Santa Brígida";85
"292770 Santa Cruz Cabrália";925
"292780 Santa Cruz da Vitória";67
"292790 Santa Inês";265
"292805 Santa Luzia";603
"292810 Santa Maria da Vitória";958
"292840 Santa Rita de Cássia";204
"292850 Santa Teresinha";40
"292800 Santaluz";863
"292820 Santana";502
"292830 Santanópolis";184
"292860 Santo Amaro";4698
"292870 Santo Antônio de Jesus";10537
"292880 Santo Estêvão";1931
"292890 São Desidério";750
"292895 São Domingos";94
"292910 São Felipe";365
"292900 São Félix";241
"292905 São Félix do Coribe";225
"292920 São Francisco do Conde";6232
"292925 São Gabriel";168
"292930 São Gonçalo dos Campos";2527
"292935 São José da Vitória";71
"292937 São José do Jacuípe";40
"292940 São Miguel das Matas";155
"292950 São Sebastião do Passé";5356
"292960 Sapeaçu";301
"292970 Sátiro Dias";65
"292975 Saubara";350
"292980 Saúde";74
"292990 Seabra";1041
"293000 Sebastião Laranjeiras";18
"293010 Senhor do Bonfim";5196
"293020 Sento Sé";502
"293015 Serra do Ramalho";130
"293030 Serra Dourada";105
"293040 Serra Preta";314
"293050 Serrinha";6087
"293060 Serrolândia";118
"293070 Simões Filho";19781
"293075 Sítio do Mato";26
"293076 Sítio do Quinto";40
"293077 Sobradinho";2641
"293080 Souto Soares";38
"293090 Tabocas do Brejo Velho";47
"293100 Tanhaçu";353
"293105 Tanque Novo";85
"293110 Tanquinho";300
"293120 Taperoá";123
"293130 Tapiramutá";94
"293135 Teixeira de Freitas";20782
"293140 Teodoro Sampaio";154
"293150 Teofilândia";1375
"293160 Teolândia";84
"293170 Terra Nova";267
"293180 Tremedal";111
"293190 Tucano";575
"293200 Uauá";709
"293210 Ubaíra";197
"293220 Ubaitaba";958
"293230 Ubatã";566
"293240 Uibaí";129
"293245 Umburanas";17
"293250 Una";1000
"293260 Urandi";106
"293270 Uruçuca";778
"293280 Utinga";149
"293290 Valença";3318
"293300 Valente";356
"293305 Várzea da Roça";55
"293310 Várzea do Poço";39
"293315 Várzea Nova";68
"293317 Varzedo";87
"293320 Vera Cruz";1775
"293325 Vereda";55
"293330 Vitória da Conquista";46381
"293340 Wagner";34
"293345 Wanderley";74
"293350 Wenceslau Guimarães";70
"293360 Xique-Xique";498
"290000 Município ignorado - BA";584
"Total";6838995
