Beneficiários por Município
Assistência Médica por Município
Grande Região: Nordeste
Período:Dez/2014
"Município";"Assistência_Médica"
"211290 Vitória do Mearim";612
"211300 Vitorino Freire";253
"211400 Zé Doca";548
"210000 Município ignorado - MA";104
"220005 Acauã";83
"220010 Agricolândia";37
"220020 Água Branca";490
"220025 Alagoinha do Piauí";41
"220027 Alegrete do Piauí";170
"220030 Alto Longá";186
"220040 Altos";1674
"220045 Alvorada do Gurguéia";74
"220050 Amarante";260
"220060 Angical do Piauí";363
"220070 Anísio de Abreu";57
"220080 Antônio Almeida";92
"220090 Aroazes";35
"220100 Arraial";39
"220105 Assunção do Piauí";25
"220110 Avelino Lopes";54
"220115 Baixa Grande do Ribeiro";567
"220117 Barra D'Alcântara";12
"220120 Barras";862
"220130 Barreiras do Piauí";47
"220140 Barro Duro";103
"220150 Batalha";282
"220155 Bela Vista do Piauí";5
"220157 Belém do Piauí";11
"220160 Beneditinos";97
"220170 Bertolínia";163
"220173 Betânia do Piauí";12
"220177 Boa Hora";50
"220180 Bocaina";46
"220190 Bom Jesus";1195
"220191 Bom Princípio do Piauí";42
"220192 Bonfim do Piauí";17
"220194 Boqueirão do Piauí";123
"220196 Brasileira";93
"220198 Brejo do Piauí";3
"220200 Buriti dos Lopes";327
"220202 Buriti dos Montes";10
"220205 Cabeceiras do Piauí";111
"220207 Cajazeiras do Piauí";6
"220208 Cajueiro da Praia";32
"220209 Caldeirão Grande do Piauí";87
"220210 Campinas do Piauí";62
"220211 Campo Alegre do Fidalgo";4
"220213 Campo Grande do Piauí";55
"220217 Campo Largo do Piauí";3
"220220 Campo Maior";2924
"220225 Canavieira";8
"220230 Canto do Buriti";543
"220240 Capitão de Campos";147
"220245 Capitão Gervásio Oliveira";5
"220250 Caracol";104
"220253 Caraúbas do Piauí";2
"220255 Caridade do Piauí";10
"220260 Castelo do Piauí";444
"220265 Caxingó";7
"220270 Cocal";126
"220271 Cocal de Telha";86
"220272 Cocal dos Alves";5
"220273 Coivaras";19
"220275 Colônia do Gurguéia";66
"220277 Colônia do Piauí";17
"220280 Conceição do Canindé";42
"220285 Coronel José Dias";7
"220290 Corrente";537
"220300 Cristalândia do Piauí";34
"220310 Cristino Castro";122
"220320 Curimatá";135
"220323 Currais";31
"220327 Curral Novo do Piauí";5
"220325 Curralinhos";185
"220330 Demerval Lobão";636
"220335 Dirceu Arcoverde";183
"220340 Dom Expedito Lopes";92
"220345 Dom Inocêncio";19
"220342 Domingos Mourão";28
"220350 Elesbão Veloso";293
"220360 Eliseu Martins";307
"220370 Esperantina";730
"220375 Fartura do Piauí";4
"220380 Flores do Piauí";54
"220385 Floresta do Piauí";4
"220390 Floriano";5616
"220400 Francinópolis";15
"220410 Francisco Ayres";26
"220415 Francisco Macedo";20
"220420 Francisco Santos";107
"220430 Fronteiras";1253
"220435 Geminiano";36
"220440 Gilbués";121
"220450 Guadalupe";1001
"220455 Guaribas";20
"220460 Hugo Napoleão";41
"220465 Ilha Grande";51
"220470 Inhuma";245
"220480 Ipiranga do Piauí";102
"220490 Isaías Coelho";70
"220500 Itainópolis";45
"220510 Itaueira";126
"220515 Jacobina do Piauí";10
"220520 Jaicós";443
"220525 Jardim do Mulato";9
"220527 Jatobá do Piauí";18
"220530 Jerumenha";52
"220535 João Costa";2
"220540 Joaquim Pires";61
"220545 Joca Marques";9
"220550 José de Freitas";1067
"220551 Juazeiro do Piauí";6
"220552 Júlio Borges";5
"220553 Jurema";6
"220555 Lagoa Alegre";40
"220557 Lagoa de São Francisco";8
"220556 Lagoa do Barro do Piauí";15
"220558 Lagoa do Piauí";78
"220559 Lagoa do Sítio";2
"220554 Lagoinha do Piauí";18
"220560 Landri Sales";51
"220570 Luís Correia";311
"220580 Luzilândia";397
"220585 Madeiro";24
"220590 Manoel Emídio";54
"220595 Marcolândia";220
"220600 Marcos Parente";68
"220605 Massapê do Piauí";5
"220610 Matias Olímpio";85
"220620 Miguel Alves";314
"220630 Miguel Leão";11
"220635 Milton Brandão";3
"220640 Monsenhor Gil";151
"220650 Monsenhor Hipólito";37
"220660 Monte Alegre do Piauí";130
"220667 Morro do Chapéu do Piauí";10
"220669 Murici dos Portelas";13
"220670 Nazaré do Piauí";49
"220672 Nazária";435
"220675 Nossa Senhora de Nazaré";86
